clf_dir,batch_size,hidden_dim,layers,output_dim,learning_rate,epochs,ignore_saved,test,accuracy,time
models,64,128,1,2,0.001,1000,False,True,0.7866,20.0
models,54,334,3,2,0.0078069100027276924,1360,False,True,0.757,207.0
models,36,185,3,2,0.0010097491581800289,2138,False,True,0.7632,441.0
models,26,436,3,2,0.00021584494295802446,2635,False,True,0.7274,958.0
models,17,477,2,2,1.7787658410143285e-05,2891,False,True,0.7757,2213.0
models,36,377,2,2,8.066305219717406e-05,1684,False,True,0.7866,456.0
models,40,122,3,2,0.0014049386065204184,974,False,True,0.7539,209.0
models,43,334,2,2,0.000916064345328208,1475,False,True,0.7259,314.0
models,59,383,1,2,0.00047450412719997727,1767,False,True,0.7773,370.0
models,22,392,3,2,0.00014264961159866528,2568,False,True,0.7492,308.0
models,40,77,2,2,0.003864165025399161,2863,False,True,0.7632,91.0
models,41,155,3,2,0.006842635188254582,1863,False,True,0.5327,74.0
models,59,494,3,2,0.009103204020787821,1275,False,True,0.785,79.0
models,51,423,2,2,0.004261558744912446,2085,False,True,0.7695,96.0
models,57,254,2,2,0.007761328233611146,2000,False,True,0.7695,61.0
models,49,509,2,2,0.007282719958564209,701,False,True,0.771,40.0
models,30,278,1,2,0.009621720243493491,955,False,True,0.771,42.0
models,36,430,1,2,0.005877511656638482,837,False,True,0.7648,38.0
models,40,251,1,2,0.0014192422497476265,1263,False,True,0.7773,40.0
models,30,408,3,2,0.004244014807063696,564,False,True,0.5327,53.0
models,16,199,3,2,0.008164614284548342,2527,False,True,0.5327,255.0
models,32,226,3,2,0.007722703466859457,891,False,True,0.5327,48.0
models,20,104,3,2,0.008510385777897993,2778,False,True,0.5327,194.0
models,27,470,2,2,0.0032618332202674705,1002,False,True,0.7679,91.0
models,50,277,3,2,0.0056224342584770114,2395,False,True,0.5327,98.0
models,50,194,1,2,0.007227295211648731,1985,False,True,0.7788,47.0
models,29,346,1,2,0.007116628896857873,1370,False,True,0.7819,65.0
models,41,242,3,2,0.008967635956735194,1984,False,True,0.5327,93.0
models,64,159,2,2,0.001403314544058757,1063,False,True,0.757,25.0
models,54,234,1,2,0.0022979816549162247,2178,False,True,0.771,52.0
models,47,306,2,2,0.008814678390152576,2222,False,True,0.7897,86.0
models,57,504,1,2,0.008724605901877177,2097,False,True,0.757,70.0
models,43,107,2,2,0.008842802589188683,2143,False,True,0.7617,66.0
models,43,294,2,2,0.0011105192452767676,1996,False,True,0.7477,81.0
models,42,296,3,2,7.952130531190704e-05,1472,False,True,0.7664,75.0
models,23,200,2,2,0.0022310781047073028,1934,False,True,0.7679,119.0
